meta/task,meta/agent_name,meta/dataset_class,meta/git_commit,meta/dataset_dir,meta/train_dataset_path,meta/val_dataset_path,meta/train_dataset_sha256,meta/val_dataset_sha256,meta/hostname,meta/platform,meta/python_version,meta/jax_backend,meta/jax_devices,meta/jax_device_count,params/total_count,params/value_count,params/actor_count,params/critic_count,params/target_value_count,training/actor/action_saturation_frac,training/actor/actor_loss,training/actor/bc_loss,training/actor/q_loss,training/actor/q_mean,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits_pos,training/critic/q_mean,training/critic/score_margin,training/critic/v_mean,training/grad/actor_global_norm,training/grad/critic_global_norm,training/grad/global_norm,time/sps,time/step_time,time/update_count,time/samples_seen,time/eval_count,time/total_time,time/train_wall_clock,time/hours_elapsed,time/samples_per_second,compute/total_param_updates,compute/critic_param_updates,compute/value_param_updates,compute/total_param_samples,compute/critic_param_samples,compute/value_param_samples,params/critic_abs_mean,batch/value_goal_source_current_frac,batch/value_goal_source_traj_frac,batch/value_goal_source_random_frac,batch/value_goal_horizon_mean,batch/value_goal_horizon_std,batch/value_goal_maze_xy_distance_mean,batch/value_goal_maze_xy_distance_std,batch/value_goal_maze_path_available_frac,batch/value_goal_maze_path_len_mean,batch/value_goal_maze_path_len_std,batch/value_goal_maze_path_short_frac,batch/value_goal_maze_path_medium_frac,batch/value_goal_maze_path_long_frac,action/policy_behavior_mse,step
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.07739258,1.8045521,0.80867547,0.9958766,-9.710711,0.3544922,0.0039082444,-2.832654,-2.832654,14.624711,0.7597715,0.15514132,0.0022679595,0.15515791,2790958.103516302,0.007165987932682037,220000,225280000,3,725.4042475223541,725.4042475223541,0.20150117986732058,2790958.103516302,831848160000.0,708730880000.0,0.0,851812515840000.0,725740421120000.0,0.0,0.12728463113307953,0.0,1.0,0.0,55.904296875,46.03188243257998,2.7644193172454834,3.129869222640991,1.0,0.7841796875,1.1555334396772783,0.9580078125,0.0419921875,0.0,0.18276824057102203,220000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.072753906,1.8055243,0.80848426,0.99704003,-9.85462,0.37890625,0.0039101,-2.8968933,-2.8968933,14.657535,1.0003138,0.19918805,0.0024185947,0.19920275,13773132.250522178,0.0014520925164222718,240000,245760000,3,754.4460978507996,754.4460978507996,0.20956836051411099,13773132.250522178,907470720000.0,773160960000.0,0.0,929250017280000.0,791716823040000.0,0.0,0.13096095621585846,0.0,1.0,0.0,55.5888671875,44.80042455293238,2.8075850009918213,3.166851043701172,1.0,0.8046875,1.1788076188860293,0.953125,0.046875,0.0,0.18267366290092468,240000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.076538086,1.8087204,0.8117195,0.9970009,-10.236685,0.375,0.003890701,-2.8323762,-2.8323762,14.741243,0.9329132,0.18028383,0.0025441772,0.18030177,13770663.933107367,0.001452352797985077,260000,266240000,3,783.4931538105011,783.4931538105011,0.21763698716958363,13770663.933107367,983093280000.0,837591040000.0,0.0,1006687518720000.0,857693224960000.0,0.0,0.1342717558145523,0.0,1.0,0.0,55.544921875,46.156323349570926,2.8307430744171143,3.048319101333618,1.0,0.818359375,1.1423210180809986,0.9609375,0.0390625,0.0,0.1905885934829712,260000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.072753906,1.8100734,0.8139966,0.9960767,-9.9512825,0.40234375,0.0038010883,-2.7327473,-2.7327473,15.30144,1.0488424,0.1781311,0.002580791,0.1781498,13745378.72719888,0.001455024480819702,280000,286720000,3,812.5936434268951,812.5936434268951,0.22572045650747088,13745378.72719888,1058715840000.0,902021120000.0,0.0,1084125020160000.0,923669626880000.0,0.0,0.13727276027202606,0.0,1.0,0.0,55.392578125,45.44876261286738,2.7895355224609375,3.199096202850342,1.0,0.8037109375,1.1938751155137086,0.947265625,0.052734375,0.0,0.19639550149440765,280000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.06970215,1.8053517,0.80989206,0.9954596,-10.025946,0.37304688,0.0038308182,-2.723959,-2.723959,15.523281,0.9923482,0.19470823,0.0024179262,0.19472323,13753141.107176948,0.0014542032480239868,300000,307200000,3,841.6777083873749,841.6777083873749,0.23379936344093746,13753141.107176948,1134338400000.0,966451200000.0,0.0,1161562521600000.0,989646028800000.0,0.0,0.1399933099746704,0.0,1.0,0.0,54.45703125,44.784620308611785,2.805351734161377,3.067539930343628,1.0,0.80078125,1.1513237010712658,0.9580078125,0.0419921875,0.0,0.186465322971344,300000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.076049805,1.8064904,0.8110615,0.99542886,-9.782213,0.41015625,0.003653809,-2.5226407,-2.5226407,16.22614,1.9044366,0.19185583,0.0024912066,0.19187202,3058947.596104928,0.0065381863474845885,320000,327680000,4,972.4414353370667,972.4414353370667,0.27012262092696293,3058947.596104928,1209960960000.0,1030881280000.0,0.0,1239000023040000.0,1055622430720000.0,0.0,0.14245165884494781,0.0,1.0,0.0,54.8623046875,45.95041894192495,2.667086601257324,3.0988595485687256,1.0,0.748046875,1.1280324121241971,0.955078125,0.044921875,0.0,0.18957698345184326,320000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.06958008,1.812914,0.8170059,0.99590814,-10.087653,0.38964844,0.0037268489,-2.6209254,-2.6209254,16.020008,1.0791299,0.17696068,0.0030751964,0.17698738,13791555.419573627,0.0014501527547836305,340000,348160000,4,1001.4444904327393,1001.4444904327393,0.27817902512020537,13791555.419573627,1285583520000.0,1095311360000.0,0.0,1316437524480000.0,1121598832640000.0,0.0,0.14468641579151154,0.0,1.0,0.0,56.4423828125,46.60024267919326,2.900662422180176,3.2421374320983887,1.0,0.82421875,1.1727535769071171,0.9580078125,0.0419921875,0.0,0.2040489912033081,340000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.079589844,1.8061779,0.8123831,0.99379474,-10.006428,0.41601562,0.003725763,-2.5736535,-2.5736535,16.279652,1.7272016,0.18849795,0.0026275797,0.18851623,13771150.540122196,0.0014523014783859253,360000,368640000,4,1030.4905200004578,1030.4905200004578,0.28624736666679385,13771150.540122196,1361206080000.0,1159741440000.0,0.0,1393875025920000.0,1187575234560000.0,0.0,0.14672400057315826,0.0,1.0,0.0,55.5244140625,47.42040400980945,2.879237651824951,3.168907642364502,1.0,0.8408203125,1.1738748398306365,0.9560546875,0.0439453125,0.0,0.19255021214485168,360000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.076293945,1.8119439,0.81505126,0.99689263,-10.556189,0.3779297,0.0038159816,-2.6907117,-2.6907117,16.475224,1.1173947,0.18566924,0.0027890124,0.18569021,13768806.21314709,0.0014525487542152405,380000,389120000,4,1059.5414950847626,1059.5414950847626,0.2943170819679896,13768806.21314709,1436828640000.0,1224171520000.0,0.0,1471312527360000.0,1253551636480000.0,0.0,0.1485777050256729,0.0,1.0,0.0,59.08203125,47.86360738075457,2.997363567352295,3.2163095474243164,1.0,0.8935546875,1.228485737787288,0.9443359375,0.0556640625,0.0,0.1991986632347107,380000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.072265625,1.8036053,0.8099974,0.99360794,-10.137385,0.4111328,0.003672118,-2.6079822,-2.6079822,16.79506,0.8480624,0.20831583,0.0027907295,0.20833452,13749730.845448093,0.0014545639276504518,400000,409600000,4,1088.6327736377716,1088.6327736377716,0.3023979926771588,13749730.845448093,1512451200000.0,1288601600000.0,0.0,1548750028800000.0,1319528038400000.0,0.0,0.15026986598968506,0.0,1.0,0.0,58.9248046875,45.97004809903377,2.8664066791534424,3.1965718269348145,1.0,0.8212890625,1.1752226760567,0.9599609375,0.0400390625,0.0,0.18649400770664215,400000
